iter	Passed	Remaining
0	6	6102
1	11	5724
2	17	5659
3	23	5766
4	29	5959
5	36	6054
6	43	6141
7	49	6081
8	54	6055
9	60	6029
10	67	6026
11	72	5957
12	78	5989
13	84	5956
14	91	6001
15	98	6037
16	105	6075
17	111	6082
18	117	6060
19	123	6029
20	129	6051
21	135	6024
22	141	5991
23	146	5962
24	156	6120
25	161	6066
26	166	6007
27	171	5939
28	176	5894
29	180	5846
30	185	5806
31	190	5766
32	195	5733
33	200	5691
34	206	5680
35	211	5659
36	216	5628
37	220	5594
38	226	5575
39	231	5557
40	236	5532
41	240	5493
42	245	5472
43	250	5438
44	254	5408
45	259	5371
46	263	5348
47	269	5337
48	274	5323
49	280	5326
50	286	5323
51	291	5307
52	296	5291
53	300	5270
54	305	5255
55	310	5241
56	315	5218
57	320	5199
58	324	5176
59	329	5155
60	333	5137
61	338	5118
62	343	5113
63	349	5108
64	354	5105
65	361	5114
66	368	5125
67	374	5137
68	380	5135
69	386	5133
70	393	5145
71	399	5152
72	411	5224
73	422	5281
74	430	5304
75	439	5344
76	447	5360
77	454	5368
78	462	5388
79	469	5396
80	476	5405
81	482	5406
82	498	5503
83	504	5505
84	510	5499
85	517	5503
86	524	5506
87	532	5517
88	539	5519
89	547	5533
90	556	5561
91	566	5592
92	577	5636
93	585	5644
94	593	5657
95	601	5660
96	608	5663
97	616	5674
98	624	5683
99	632	5691
100	638	5680
101	645	5687
102	654	5698
103	662	5703
104	670	5712
105	678	5720
106	684	5710
107	689	5697
108	696	5689
109	701	5677
110	707	5667
111	713	5654
112	718	5640
113	724	5630
114	730	5622
115	737	5619
116	743	5611
117	750	5610
118	756	5602
119	764	5604
120	782	5687
121	792	5703
122	800	5706
123	807	5702
124	814	5702
125	821	5698
126	829	5701
127	836	5697
128	843	5692
129	849	5683
130	856	5680
131	863	5676
132	871	5678
133	880	5693
134	889	5701
135	897	5699
136	904	5699
137	913	5704
138	921	5706
139	927	5695
140	932	5682
141	939	5673
142	946	5670
143	952	5663
144	958	5652
145	965	5645
146	970	5633
147	976	5620
148	996	5689
149	1016	5758
150	1029	5788
151	1040	5803
152	1046	5793
153	1057	5808
154	1065	5809
155	1072	5802
156	1079	5797
157	1085	5787
158	1092	5779
159	1099	5772
160	1105	5758
161	1110	5745
162	1117	5736
163	1123	5724
164	1129	5714
165	1136	5707
166	1142	5698
167	1148	5686
168	1153	5674
169	1159	5661
170	1165	5650
171	1171	5639
172	1177	5627
173	1185	5625
174	1191	5615
175	1196	5602
176	1202	5590
177	1207	5578
178	1213	5567
179	1219	5554
180	1225	5543
181	1230	5530
182	1236	5519
183	1241	5506
184	1247	5494
185	1252	5483
186	1258	5473
187	1264	5459
188	1269	5447
189	1274	5434
190	1279	5420
191	1285	5411
192	1290	5397
193	1295	5382
194	1300	5367
195	1304	5352
196	1309	5337
197	1314	5325
198	1319	5312
199	1324	5297
200	1329	5283
201	1334	5272
202	1340	5261
203	1346	5252
204	1351	5242
205	1356	5230
206	1361	5216
207	1366	5204
208	1371	5189
209	1375	5174
210	1380	5163
211	1385	5151
212	1390	5138
213	1395	5125
214	1401	5115
215	1406	5104
216	1411	5094
217	1417	5083
218	1422	5072
219	1427	5060
220	1433	5051
221	1438	5041
222	1443	5030
223	1450	5025
224	1456	5015
225	1461	5003
226	1466	4992
227	1471	4982
228	1476	4969
229	1480	4957
230	1485	4944
231	1490	4933
232	1495	4924
233	1500	4911
234	1505	4900
235	1511	4894
236	1517	4884
237	1520	4869
238	1525	4857
239	1530	4846
240	1535	4835
241	1540	4823
242	1545	4813
243	1549	4802
244	1554	4790
245	1558	4778
246	1563	4767
247	1569	4758
248	1574	4747
249	1579	4737
250	1584	4727
251	1589	4717
252	1594	4707
253	1600	4700
254	1605	4690
255	1610	4679
256	1615	4671
257	1621	4663
258	1627	4655
259	1633	4649
260	1640	4644
261	1645	4636
262	1651	4629
263	1657	4620
264	1663	4613
265	1669	4606
266	1675	4598
267	1680	4589
268	1686	4582
269	1691	4574
270	1697	4565
271	1702	4557
272	1708	4549
273	1712	4538
274	1717	4528
275	1722	4519
276	1727	4510
277	1733	4501
278	1737	4491
279	1743	4482
280	1747	4471
281	1752	4460
282	1756	4450
283	1761	4441
284	1766	4431
285	1771	4421
286	1776	4412
287	1780	4401
288	1785	4392
289	1789	4382
290	1794	4372
291	1799	4363
292	1804	4353
293	1809	4345
294	1814	4335
295	1818	4326
296	1824	4318
297	1830	4311
298	1836	4304
299	1841	4297
300	1846	4288
301	1852	4280
302	1856	4271
303	1862	4264
304	1868	4256
305	1872	4247
306	1877	4237
307	1882	4228
308	1886	4219
309	1891	4211
310	1896	4202
311	1902	4194
312	1907	4186
313	1912	4178
314	1918	4171
315	1923	4163
316	1929	4157
317	1935	4150
318	1940	4142
319	1945	4134
320	1952	4129
321	1958	4123
322	1964	4117
323	1970	4111
324	1976	4105
325	1981	4097
326	1987	4090
327	1993	4084
328	1999	4077
329	2004	4070
330	2010	4062
331	2015	4054
332	2019	4045
333	2024	4037
334	2030	4030
335	2036	4024
336	2042	4017
337	2047	4011
338	2053	4004
339	2059	3997
340	2064	3990
341	2069	3981
342	2074	3973
343	2079	3965
344	2084	3957
345	2089	3949
346	2094	3941
347	2098	3931
348	2103	3923
349	2107	3914
350	2112	3905
351	2116	3896
352	2121	3888
353	2125	3879
354	2130	3871
355	2135	3862
356	2140	3854
357	2144	3846
358	2149	3837
359	2154	3829
360	2159	3822
361	2164	3815
362	2169	3807
363	2174	3799
364	2178	3790
365	2183	3782
366	2188	3775
367	2194	3768
368	2199	3761
369	2204	3753
370	2209	3745
371	2213	3736
372	2218	3729
373	2223	3721
374	2227	3713
375	2233	3705
376	2237	3697
377	2241	3688
378	2247	3682
379	2251	3674
380	2256	3666
381	2261	3658
382	2266	3650
383	2270	3642
384	2275	3635
385	2280	3627
386	2285	3619
387	2290	3612
388	2295	3604
389	2300	3597
390	2305	3590
391	2309	3582
392	2314	3574
393	2319	3567
394	2325	3562
395	2331	3555
396	2335	3548
397	2340	3540
398	2345	3533
399	2350	3525
400	2356	3519
401	2361	3512
402	2365	3504
403	2370	3496
404	2374	3488
405	2379	3481
406	2384	3473
407	2388	3466
408	2393	3458
409	2398	3451
410	2403	3443
411	2407	3436
412	2412	3428
413	2417	3421
414	2421	3413
415	2426	3406
416	2431	3398
417	2435	3391
418	2440	3384
419	2445	3377
420	2450	3369
421	2456	3364
422	2461	3358
423	2467	3351
424	2472	3345
425	2478	3339
426	2483	3332
427	2488	3325
428	2493	3319
429	2498	3312
430	2503	3305
431	2509	3299
432	2515	3293
433	2520	3287
434	2526	3282
435	2532	3276
436	2538	3270
437	2543	3263
438	2548	3256
439	2553	3249
440	2557	3241
441	2562	3234
442	2567	3228
443	2572	3221
444	2577	3214
445	2582	3207
446	2586	3200
447	2591	3193
448	2596	3186
449	2602	3180
450	2607	3173
451	2612	3167
452	2616	3159
453	2621	3152
454	2626	3146
455	2630	3138
456	2635	3131
457	2640	3124
458	2644	3117
459	2649	3109
460	2654	3103
461	2659	3096
462	2663	3089
463	2668	3082
464	2673	3075
465	2677	3068
466	2682	3061
467	2686	3053
468	2691	3046
469	2695	3039
470	2700	3033
471	2704	3025
472	2709	3019
473	2714	3012
474	2719	3005
475	2723	2998
476	2728	2991
477	2734	2986
478	2740	2980
479	2745	2974
480	2750	2967
481	2755	2960
482	2759	2954
483	2764	2946
484	2769	2940
485	2774	2934
486	2780	2928
487	2786	2923
488	2792	2918
489	2798	2912
490	2804	2907
491	2810	2902
492	2817	2897
493	2823	2891
494	2828	2885
495	2833	2878
496	2838	2872
497	2844	2867
498	2849	2861
499	2855	2855
500	2861	2849
501	2867	2844
502	2872	2837
503	2877	2831
504	2881	2824
505	2886	2818
506	2891	2811
507	2896	2805
508	2901	2798
509	2906	2792
510	2912	2786
511	2916	2780
512	2921	2773
513	2926	2767
514	2931	2760
515	2936	2754
516	2941	2747
517	2946	2741
518	2951	2735
519	2957	2729
520	2962	2723
521	2968	2717
522	2973	2712
523	2978	2705
524	2983	2698
525	2988	2692
526	2993	2686
527	2998	2680
528	3003	2674
529	3008	2667
530	3013	2661
531	3017	2654
532	3023	2649
533	3029	2643
534	3035	2638
535	3040	2632
536	3046	2626
537	3051	2620
538	3057	2615
539	3062	2609
540	3068	2603
541	3073	2596
542	3077	2590
543	3082	2583
544	3087	2577
545	3092	2571
546	3097	2565
547	3102	2558
548	3108	2553
549	3114	2547
550	3118	2541
551	3124	2535
552	3129	2529
553	3134	2523
554	3139	2517
555	3144	2511
556	3149	2504
557	3154	2498
558	3159	2492
559	3164	2486
560	3169	2480
561	3174	2474
562	3179	2468
563	3184	2462
564	3189	2455
565	3196	2450
566	3201	2444
567	3206	2438
568	3211	2432
569	3216	2426
570	3222	2421
571	3228	2415
572	3233	2409
573	3238	2403
574	3244	2397
575	3249	2392
576	3254	2386
577	3259	2379
578	3265	2374
579	3270	2368
580	3275	2362
581	3280	2355
582	3284	2349
583	3289	2343
584	3295	2337
585	3300	2331
586	3305	2325
587	3311	2320
588	3316	2314
589	3321	2308
590	3326	2302
591	3331	2295
592	3336	2289
593	3341	2283
594	3346	2277
595	3351	2271
596	3356	2265
597	3360	2259
598	3365	2253
599	3370	2246
600	3375	2240
601	3379	2234
602	3384	2228
603	3389	2222
604	3393	2215
605	3399	2209
606	3403	2203
607	3407	2197
608	3413	2191
609	3418	2185
610	3423	2179
611	3428	2173
612	3434	2168
613	3440	2162
614	3444	2156
615	3448	2149
616	3453	2143
617	3457	2137
618	3462	2131
619	3467	2125
620	3473	2119
621	3478	2114
622	3484	2108
623	3490	2102
624	3494	2096
625	3499	2090
626	3505	2085
627	3510	2079
628	3516	2074
629	3522	2068
630	3527	2062
631	3535	2058
632	3541	2053
633	3546	2047
634	3551	2041
635	3555	2034
636	3560	2028
637	3564	2022
638	3568	2016
639	3572	2009
640	3577	2003
641	3581	1997
642	3586	1991
643	3590	1984
644	3594	1978
645	3598	1971
646	3601	1965
647	3605	1958
648	3610	1952
649	3614	1946
650	3619	1940
651	3623	1933
652	3627	1927
653	3631	1921
654	3635	1915
655	3640	1908
656	3644	1902
657	3648	1896
658	3652	1890
659	3656	1883
660	3662	1878
661	3666	1871
662	3670	1865
663	3673	1859
664	3677	1852
665	3682	1846
666	3685	1840
667	3690	1834
668	3694	1827
669	3697	1821
670	3702	1815
671	3707	1809
672	3711	1803
673	3716	1797
674	3720	1791
675	3726	1785
676	3730	1779
677	3735	1773
678	3739	1767
679	3743	1761
680	3747	1755
681	3752	1749
682	3756	1743
683	3760	1737
684	3764	1730
685	3768	1724
686	3772	1718
687	3776	1712
688	3780	1706
689	3784	1700
690	3788	1694
691	3792	1687
692	3796	1681
693	3800	1675
694	3804	1669
695	3809	1663
696	3813	1657
697	3817	1651
698	3821	1645
699	3826	1639
700	3830	1633
701	3835	1628
702	3839	1622
703	3844	1616
704	3848	1610
705	3853	1604
706	3857	1598
707	3861	1592
708	3865	1586
709	3869	1580
710	3873	1574
711	3877	1568
712	3881	1562
713	3885	1556
714	3889	1550
715	3893	1544
716	3897	1538
717	3901	1532
718	3906	1526
719	3910	1520
720	3914	1514
721	3919	1509
722	3922	1502
723	3927	1497
724	3932	1491
725	3936	1485
726	3940	1479
727	3945	1474
728	3949	1468
729	3953	1462
730	3957	1456
731	3962	1450
732	3966	1444
733	3970	1438
734	3974	1432
735	3978	1427
736	3982	1421
737	3986	1415
738	3991	1409
739	3995	1403
740	4000	1398
741	4005	1392
742	4009	1386
743	4013	1381
744	4018	1375
745	4022	1369
746	4027	1363
747	4031	1358
748	4036	1352
749	4039	1346
750	4044	1340
751	4048	1335
752	4052	1329
753	4057	1323
754	4062	1318
755	4066	1312
756	4070	1306
757	4075	1301
758	4080	1295
759	4084	1289
760	4088	1284
761	4093	1278
762	4097	1272
763	4102	1267
764	4107	1261
765	4111	1256
766	4116	1250
767	4120	1244
768	4125	1239
769	4129	1233
770	4133	1227
771	4137	1222
772	4142	1216
773	4146	1210
774	4151	1205
775	4155	1199
776	4161	1194
777	4165	1188
778	4170	1183
779	4174	1177
780	4179	1171
781	4183	1166
782	4188	1160
783	4193	1155
784	4197	1149
785	4201	1144
786	4206	1138
787	4210	1132
788	4214	1127
789	4218	1121
790	4223	1115
791	4227	1110
792	4231	1104
793	4235	1098
794	4240	1093
795	4244	1087
796	4248	1082
797	4252	1076
798	4256	1070
799	4260	1065
800	4265	1059
801	4269	1054
802	4273	1048
803	4277	1042
804	4282	1037
805	4287	1031
806	4292	1026
807	4297	1021
808	4302	1015
809	4307	1010
810	4311	1004
811	4316	999
812	4321	993
813	4325	988
814	4330	982
815	4335	977
816	4339	972
817	4343	966
818	4348	960
819	4352	955
820	4357	950
821	4362	944
822	4366	939
823	4370	933
824	4374	928
825	4379	922
826	4384	917
827	4388	911
828	4393	906
829	4397	900
830	4401	895
831	4405	889
832	4409	884
833	4413	878
834	4417	872
835	4422	867
836	4426	862
837	4430	856
838	4434	851
839	4439	845
840	4443	840
841	4448	834
842	4452	829
843	4456	823
844	4461	818
845	4465	812
846	4469	807
847	4473	801
848	4477	796
849	4481	790
850	4486	785
851	4489	779
852	4494	774
853	4498	769
854	4502	763
855	4506	758
856	4510	752
857	4514	747
858	4519	741
859	4523	736
860	4527	730
861	4531	725
862	4535	720
863	4540	714
864	4544	709
865	4548	703
866	4552	698
867	4556	692
868	4560	687
869	4564	682
870	4568	676
871	4572	671
872	4576	665
873	4580	660
874	4584	654
875	4589	649
876	4592	644
877	4597	638
878	4601	633
879	4605	627
880	4609	622
881	4613	617
882	4617	611
883	4622	606
884	4625	601
885	4630	595
886	4634	590
887	4638	585
888	4642	579
889	4646	574
890	4651	569
891	4655	563
892	4660	558
893	4664	553
894	4668	547
895	4672	542
896	4677	537
897	4681	531
898	4685	526
899	4690	521
900	4695	515
901	4699	510
902	4704	505
903	4708	500
904	4713	494
905	4718	489
906	4722	484
907	4726	478
908	4731	473
909	4736	468
910	4741	463
911	4745	457
912	4749	452
913	4754	447
914	4758	442
915	4762	436
916	4767	431
917	4771	426
918	4775	420
919	4780	415
920	4785	410
921	4789	405
922	4794	399
923	4799	394
924	4804	389
925	4809	384
926	4814	379
927	4818	373
